log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-60.901039123535156,3.7102699279785156,11.290329933166504,-11.290329933166504,-60.901039123535156,3.7102699279785156,11.290329933166504,-11.290329933166504,nan,nan,0,0,,,,,,,,,
-60.901039123535156,3.7560462951660156,11.221707344055176,-11.221707344055176,-60.901039123535156,3.7560462951660156,11.221707344055176,-11.221707344055176,,,1,1,11.959075927734375,0.006188511848449707,-52.99369430541992,-8.02530288696289,11.959075927734375,0.006188511848449707,-52.99369430541992,-8.02530288696289,
-60.901039123535156,3.6270618438720703,11.156490325927734,-11.156490325927734,-60.901039123535156,3.6270618438720703,11.156490325927734,-11.156490325927734,,,2,2,,,,,,,,,
-60.901039123535156,3.1888484954833984,11.093753814697266,-11.093753814697266,-60.901039123535156,3.1888484954833984,11.093753814697266,-11.093753814697266,,,3,3,,,,,,,,,
-60.901039123535156,3.561258316040039,11.032466888427734,-11.032466888427734,-60.901039123535156,3.561258316040039,11.032466888427734,-11.032466888427734,,,4,4,,,,,,,,,
-60.901039123535156,5.750894546508789,10.972013473510742,-10.972013473510742,-60.901039123535156,5.750894546508789,10.972013473510742,-10.972013473510742,nan,nan,5,5,,,,,,,,,
-60.901039123535156,3.23486328125,10.911888122558594,-10.911888122558594,-60.901039123535156,3.23486328125,10.911888122558594,-10.911888122558594,,,6,6,,,,,,,,,
-60.901039123535156,3.362894058227539,10.851827621459961,-10.851827621459961,-60.901039123535156,3.362894058227539,10.851827621459961,-10.851827621459961,,,7,7,,,,,,,,,
-60.901039123535156,4.407167434692383,10.79184341430664,-10.79184341430664,-60.901039123535156,4.407167434692383,10.79184341430664,-10.79184341430664,,,8,8,,,,,,,,,
-60.901039123535156,3.999948501586914,10.73193645477295,-10.73193645477295,-60.901039123535156,3.999948501586914,10.73193645477295,-10.73193645477295,,,9,9,,,,,,,,,
-60.901039123535156,3.919839859008789,10.672178268432617,-10.672178268432617,-60.901039123535156,3.919839859008789,10.672178268432617,-10.672178268432617,nan,nan,10,10,,,,,,,,,
-60.901039123535156,3.532886505126953,10.612628936767578,-10.612628936767578,-60.901039123535156,3.532886505126953,10.612628936767578,-10.612628936767578,,,11,11,12.403011322021484,0.0018985271453857422,-55.328582763671875,-5.971328258514404,12.403011322021484,0.0018985271453857422,-55.328582763671875,-5.971328258514404,
-60.901039123535156,5.089044570922852,10.55325698852539,-10.55325698852539,-60.901039123535156,5.089044570922852,10.55325698852539,-10.55325698852539,,,12,12,,,,,,,,,
-60.901039123535156,4.90117073059082,10.494019508361816,-10.494019508361816,-60.901039123535156,4.90117073059082,10.494019508361816,-10.494019508361816,,,13,13,,,,,,,,,
-60.901039123535156,4.866123199462891,10.434771537780762,-10.434771537780762,-60.901039123535156,4.866123199462891,10.434771537780762,-10.434771537780762,,,14,14,,,,,,,,,
-60.901039123535156,3.351926803588867,10.375316619873047,-10.375316619873047,-60.901039123535156,3.351926803588867,10.375316619873047,-10.375316619873047,nan,nan,15,15,,,,,,,,,
-60.901039123535156,3.596782684326172,10.315494537353516,-10.315494537353516,-60.901039123535156,3.596782684326172,10.315494537353516,-10.315494537353516,,,16,16,,,,,,,,,
