log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-111.65345764160156,4.888057708740234,9.26075553894043,-9.26075553894043,-111.65345764160156,4.888057708740234,9.26075553894043,-9.26075553894043,nan,nan,0,0,,,,,,,,,
-111.65345764160156,3.4019947052001953,9.18735122680664,-9.18735122680664,-111.65345764160156,3.4019947052001953,9.18735122680664,-9.18735122680664,,,1,1,12.640953063964844,0.0029327869415283203,-91.79581451416016,-19.84214210510254,12.640953063964844,0.0029327869415283203,-91.79581451416016,-19.84214210510254,
-111.65345764160156,4.79888916015625,9.117002487182617,-9.117002487182617,-111.65345764160156,4.79888916015625,9.117002487182617,-9.117002487182617,,,2,2,,,,,,,,,
-111.65345764160156,3.5762789249420166,9.048869132995605,-9.048869132995605,-111.65345764160156,3.5762786865234375,9.048869132995605,-9.048869132995605,,,3,3,,,,,,,,,
-111.65345764160156,4.513740539550781,8.982171058654785,-8.982171058654785,-111.65345764160156,4.513740539550781,8.982171058654785,-8.982171058654785,,,4,4,,,,,,,,,
-111.65345764160156,3.3371448516845703,8.916348457336426,-8.916348457336426,-111.65345764160156,3.3371448516845703,8.916348457336426,-8.916348457336426,nan,nan,5,5,,,,,,,,,
-111.65345764160156,3.942728042602539,8.850661277770996,-8.850661277770996,-111.65345764160156,3.942728042602539,8.850661277770996,-8.850661277770996,,,6,6,,,,,,,,,
-111.65345764160156,3.5920143127441406,8.784489631652832,-8.784489631652832,-111.65345764160156,3.5920143127441406,8.784489631652832,-8.784489631652832,,,7,7,,,,,,,,,
-111.65345764160156,3.3578872680664062,8.717218399047852,-8.717218399047852,-111.65345764160156,3.3578872680664062,8.717218399047852,-8.717218399047852,,,8,8,,,,,,,,,
-111.65345764160156,4.440069198608398,8.647927284240723,-8.647927284240723,-111.65345764160156,4.440069198608398,8.647927284240723,-8.647927284240723,,,9,9,,,,,,,,,
